"Species","Long","Lat"
"Cinnamomum mercadoi",121.936607,14.870469
"Cinnamomum mercadoi",121.956557,14.885803
"Cinnamomum mercadoi",121.935539,14.889295
"Cinnamomum mercadoi",121.852114,14.966191
"Cinnamomum mercadoi",121.966736,14.827955
"Cinnamomum mercadoi",121.936494,14.851212
"Cinnamomum mercadoi",121.940026,14.672186
"Cinnamomum mercadoi",121.882368,14.950075
"Cinnamomum mercadoi",121.924699,14.961314
"Cinnamomum mercadoi",121.900607,14.935961
"Cinnamomum mercadoi",121.901034,14.917807
"Cinnamomum mercadoi",121.984304,14.708083
"Cinnamomum mercadoi",122.000715,14.920109
"Cinnamomum mercadoi",121.958946,14.750953
"Cinnamomum mercadoi",121.967576,14.764963
