Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.07182E-5,0.004071816,0.027749709,1,0,0
4.10301E-5,0.00817483,0.027956377,0.999090909,0,0
4.13591E-5,0.012310739,0.028174204,0.998181818,0,0
4.47124E-5,0.025478316,0.030389076,0.995454545,0,0
4.98454E-5,0.053775587,0.033760006,0.99,0,0
5.74318E-5,0.102064336,0.038699339,0.981818182,0,0
7.01943E-5,0.2067406,0.046895853,0.967272727,0,0
7.61576E-5,0.301941627,0.05067796,0.955454545,0,0
8.39841E-5,0.405771923,0.055596456,0.943636364,0,0
8.76912E-5,0.500175556,0.057908358,0.933636364,0,0
9.62549E-5,0.603768276,0.063206141,0.923636364,0,0
9.90157E-5,0.701929029,0.064901359,0.914545455,0,0
1.00388E-4,0.751887395,0.0657417,0.91,0,0
1.02113E-4,0.802711796,0.06679604,0.905454545,0,0
1.04788E-4,0.906372354,0.068425939,0.896363636,0,0
1.08143E-4,1.002653764,0.070462563,0.888181818,0,0
1.09858E-4,1.100930062,0.071500017,0.88,0,0
1.11051E-4,1.200576955,0.07222049,0.871818182,0,0
1.13598E-4,1.301618547,0.073754628,0.863636364,0,0
1.15815E-4,1.404999424,0.075086131,0.855454545,0,0
1.20246E-4,1.500385049,0.077735606,0.848181818,0,0
1.39469E-4,1.7570382,0.089055618,0.83,0,0
1.55157E-4,2.008572969,0.098090472,0.814545455,0,0
1.62982E-4,2.262971628,0.102530328,0.8,0,0
1.76089E-4,2.502365231,0.109869498,0.787272727,0,0
1.85555E-4,2.754589227,0.115096409,0.774545455,0,0
1.93389E-4,3.001122456,0.119375338,0.762727273,0,0
2.04167E-4,3.260382077,0.125195485,0.750909091,0,0
2.12317E-4,3.509061453,0.129545741,0.74,0,0
2.22705E-4,3.769735056,0.1350279,0.729090909,0,0
2.34524E-4,4.022452362,0.141182472,0.719090909,0,0
2.42928E-4,4.260468165,0.14550551,0.71,0,0
2.51065E-4,4.507864363,0.149649572,0.700909091,0,0
2.5617E-4,4.76157517,0.152229692,0.691818182,0,0
2.64074E-4,5.021643246,0.156192653,0.682727273,0,0
2.70448E-4,5.263567793,0.159361838,0.674545455,0,0
2.75545E-4,5.509327334,0.161879325,0.666363636,0,0
2.81342E-4,5.760237894,0.164723886,0.658181818,0,0
2.88164E-4,6.01725369,0.168047037,0.65,0,0
2.94742E-4,6.250553908,0.171226406,0.642727273,0,0
2.97546E-4,6.517308349,0.172573925,0.634545455,0,0
3.01701E-4,6.757344518,0.174563341,0.627272727,0,0
3.04799E-4,7.000182503,0.176040336,0.62,0,0
3.11148E-4,7.277098953,0.179050411,0.611818182,0,0
3.22292E-4,7.531814948,0.184281484,0.604545455,0,0
3.30669E-4,7.760245022,0.188170245,0.598181818,0,0
3.35862E-4,8.027500251,0.190561916,0.590909091,0,0
3.45572E-4,8.266968199,0.194997222,0.584545455,0,0
3.51303E-4,8.510607525,0.197592176,0.578181818,0,0
3.54982E-4,8.758401306,0.199248861,0.571818182,0,0
3.61861E-4,9.009811799,0.202328999,0.565454545,0,0
3.66245E-4,9.264978744,0.204279198,0.559090909,0,0
3.76547E-4,9.525855823,0.20882538,0.552727273,0,0
3.85013E-4,9.754850306,0.212522862,0.547272727,0,0
3.8993E-4,10.026351851,0.214654261,0.540909091,0,0
3.9545E-4,10.262364514,0.217033374,0.535454545,0,0
4.01486E-4,10.501317009,0.219618778,0.53,0,0
4.12687E-4,10.786647927,0.224371281,0.523636364,0,0
4.27336E-4,11.040339635,0.230499562,0.518181818,0,0
4.37249E-4,11.257084948,0.234592185,0.513636364,0,0
4.4911E-4,11.522885477,0.239432299,0.508181818,0,0
4.6195E-4,11.795929588,0.244603115,0.502727273,0,0
4.81986E-4,12.034068326,0.252533145,0.498181818,0,0
4.975E-4,12.279657993,0.258559895,0.493636364,0,0
5.11648E-4,12.533010778,0.263971882,0.489090909,0,0
5.24971E-4,12.792932562,0.268996741,0.484545455,0,0
5.43285E-4,13.008447615,0.275792539,0.480909091,0,0
5.70725E-4,13.287723865,0.285742111,0.476363636,0,0
5.82761E-4,13.518673503,0.29002024,0.472727273,0,0
5.8754E-4,13.752980558,0.291704893,0.469090909,0,0
5.94206E-4,14.049124691,0.294041483,0.464545455,0,0
6.03494E-4,14.289351728,0.297271127,0.460909091,0,0
6.09116E-4,14.532193007,0.299211957,0.457272727,0,0
6.26129E-4,14.779335875,0.30502006,0.453636364,0,0
6.31586E-4,15.031150661,0.306862663,0.45,0,0
6.36556E-4,15.284989338,0.308532441,0.446363636,0,0
6.38878E-4,15.540228777,0.309309835,0.442727273,0,0
6.44464E-4,15.79680943,0.31117246,0.439090909,0,0
6.58297E-4,16.058232108,0.315742923,0.435454545,0,0
6.63048E-4,16.256759439,0.317298447,0.432727273,0,0
6.82114E-4,16.525277762,0.323471102,0.429090909,0,0
6.88194E-4,16.799429871,0.325415978,0.425454545,0,0
6.95098E-4,17.007113979,0.327611043,0.422727273,0.066666667,0
6.97381E-4,17.285862432,0.328334035,0.419090909,0.066666667,0
7.05852E-4,17.566405531,0.33100203,0.415454545,0.066666667,0
7.16103E-4,17.780445404,0.334202489,0.412727273,0.066666667,0
7.18748E-4,18.067465419,0.335023375,0.409090909,0.066666667,0
7.237E-4,18.284061206,0.336554958,0.406363636,0.066666667,0
7.27404E-4,18.502077501,0.33769576,0.403636364,0.066666667,0
7.34295E-4,18.794195306,0.3398078,0.4,0.066666667,0
7.51946E-4,19.018735085,0.345156804,0.397272727,0.066666667,0
7.74898E-4,19.325212747,0.351983852,0.393636364,0.066666667,0
7.78326E-4,19.558227509,0.352991307,0.390909091,0.066666667,0
7.81604E-4,19.792174185,0.353951621,0.388181818,0.066666667,0
7.88343E-4,20.028110427,0.355917239,0.385454545,0.066666667,0
7.92652E-4,20.265645559,0.357167873,0.382727273,0.066666667,0
8.07495E-4,20.506392683,0.361438576,0.38,0.066666667,0
8.18495E-4,20.831601155,0.364567209,0.376363636,0.133333333,0
8.35288E-4,21.080631462,0.369285006,0.373636364,0.133333333,0
8.58116E-4,21.335497378,0.375586683,0.370909091,0.133333333,0
8.70954E-4,21.508902568,0.379075703,0.369090909,0.133333333,0
8.94168E-4,21.775060732,0.385286731,0.366363636,0.133333333,0
9.25078E-4,22.050087434,0.393366299,0.363636364,0.133333333,0
9.35823E-4,22.329535917,0.396125507,0.360909091,0.133333333,0
9.41061E-4,22.517266848,0.397461313,0.359090909,0.133333333,0
9.55791E-4,22.801377338,0.401186657,0.356363636,0.133333333,0
9.66071E-4,23.090535571,0.403759495,0.353636364,0.133333333,0
9.75188E-4,23.28486735,0.406022795,0.351818182,0.133333333,0
9.90596E-4,23.579656412,0.409808861,0.349090909,0.133333333,0
9.99853E-4,23.779368343,0.412060513,0.347272727,0.133333333,0
1.01661E-3,24.082608119,0.416092237,0.344545455,0.133333333,0
1.03446E-3,24.288530011,0.420329034,0.342727273,0.133333333,0
1.05203E-3,24.602671115,0.424436544,0.34,0.133333333,0
1.06642E-3,24.815444457,0.427759278,0.338181818,0.133333333,0
1.06964E-3,25.029289067,0.428497221,0.336363636,0.133333333,0
1.07682E-3,25.351389997,0.430136897,0.333636364,0.133333333,0
1.08777E-3,25.568022437,0.432618974,0.331818182,0.133333333,0
1.09886E-3,25.787175165,0.435109627,0.33,0.133333333,0
1.10388E-3,26.007728475,0.436230509,0.328181818,0.2,0
1.14057E-3,26.349058292,0.4442878,0.325454545,0.2,0
1.15395E-3,26.578550208,0.447169025,0.323636364,0.2,0
1.1593E-3,26.810231124,0.448313416,0.321818182,0.2,0
1.16405E-3,27.042672888,0.449324392,0.32,0.2,0
1.17434E-3,27.277380268,0.451502259,0.318181818,0.2,0
1.18413E-3,27.514143075,0.453558898,0.316363636,0.2,0
1.19904E-3,27.752892547,0.45666351,0.314545455,0.2,0
1.2107E-3,28.114837939,0.459064098,0.311818182,0.2,0
1.24047E-3,28.360109797,0.465102673,0.31,0.2,0
1.24336E-3,28.608503456,0.465681458,0.308181818,0.2,0
1.25382E-3,28.858647129,0.467766791,0.306363636,0.2,0
1.26805E-3,29.111172535,0.470577906,0.304545455,0.2,0
1.27523E-3,29.365663362,0.471985057,0.302727273,0.2,0
1.27774E-3,29.621000602,0.47247419,0.300909091,0.2,0
1.28171E-3,29.877173013,0.473247743,0.299090909,0.2,0
1.29243E-3,30.006415569,0.475323532,0.298181818,0.2,0
1.30126E-3,30.266125463,0.477022639,0.296363636,0.2,0
1.31233E-3,30.527847032,0.479135616,0.294545455,0.2,0
1.31475E-3,30.790707165,0.479596537,0.292727273,0.2,0
1.32638E-3,31.054833936,0.481794324,0.290909091,0.2,0
1.33459E-3,31.320969039,0.483335001,0.289090909,0.2,0
1.34163E-3,31.589055598,0.484649065,0.287272727,0.2,0
1.3534E-3,31.859094945,0.486832136,0.285454545,0.2,0
1.3617E-3,32.130882948,0.488359205,0.283636364,0.2,0
1.37293E-3,32.26817608,0.490411485,0.282727273,0.2,0
1.38514E-3,32.544169713,0.492624617,0.280909091,0.2,0
1.39401E-3,32.82216499,0.494219629,0.279090909,0.2,0
1.40416E-3,33.102146458,0.496032356,0.277272727,0.2,0
1.41529E-3,33.384483507,0.498006601,0.275454545,0.2,0
